question|answer|score
special effect add movement still < br > a . animation transition slide show|a|10.0
used define speed < br > a . start box reorder animation duration box|c|0.0
following effect determines entry exit style a slide ? < br > a . animation sound transition|c|0.0
following quess present insert tab ? < br > a . audio rehearse timing video|b|1000.0
two additional tab appear ribbon inserting a video clip a < br > a . format playback < br > b . insert home < br > c . playback flashback|a|0.0
animation effect determines selected object leave slide slide show .|exit|0.0
default , ques selected transition slide group .|none|0.0
ques let apply current slide & # 8217 ; s transition effect entire presentation .|apply|0.0
video ques present group insert tab .|medium|0.0
feature let record runtime slide a presentation .|rehearse timing|0.0
apply multiple animation effect slide .|f|0.0
animation effect determines entry exit style a slide .|f|0.0
pressing f4 key begin slide show .|f|0.0
two additional tab appear ribbon insert audio clip slide .|t|0.0
timing group animation tab preview command .|f|0.0
transition effect appear slide show .|t|0.0
timeline element advance audio play .|t|0.0
start ques let video play entire screen .|f|0.0
rehearse timing feature present slide show tab .|t|0.0
understand animation ? name four type animation < br > < br > < br > < br >|animation effect special effect add movement still object , graphic , image , text , table . animation includes audio-visual effect , make presentation engaging effective . four type animation effect : < br > < br > < br > < br > path|0.0
slide transition ? < br > < br > < br > < br >|slide transition determines entry exit style a slide . make a presentation look appealing audience .|0.0
describe different method advance a slide a < br > < br > < br > < br >|different method advance a slide a presentation : < br > mouse click : advance slide automatically next one mouse < br > : advance slide a fixed time specified spin box .|0.0
role audio pc record audio quess audio command ? < br > < br > < br > < br >|using audio pc ques , add audio stored computer slide . record audio button used record a voice insert slide .|0.0
think benefit rehearse timing ques ? < br > < br > < br > < br >|rehearse timing feature let u record runtime slide a presentation . feature play a presentation certain speed , help saving time slide animation .|0.0
following quess used play a brief section audio clip ? < br > a . cut audio trim audio hide audio|b|0.0
following ques let record runtime slide a presentation ? < br > a . record timing re-record rehearse timing|c|0.0
following ques insert a video clip a slide ? < br > a . device library online video|b|0.0
following animation effect make selected object move a particular pattern slide ? < br > a . motion path exit emphasis|a|0.0
play button watch preview a video present group playback tab ? < br > a . editing bookmark preview|c|0.0
clicking button preview group animation tab show preview animation effect .|preview|0.0
key pressed start slide show .|f5|0.0
ques hide sound icon slide show .|hide show|0.0
animation effect used highlight selected object draw attention audience slide show .|emphasis|0.0
ques let video play entire screen .|play full screen|0.0
apply one animation effect a slide .|f|0.0
animation effect applied a slide , a star symbol appears next < br > slide navigation pane .|t|0.0
mouse click advance slide automatically next one clicking < br > mouse .|t|0.0
insert a recorded audio a slide .|f|0.0
possible change sequence animation effect .|t|0.0
write step insert a recorded audio a < br > < br > < br > < br >|insert a recorded audio clip , follow step : < br > slide wish insert recorded audio < br > audio drop-down arrow medium group insert < br > record audio button drop-down menu record < br > record button begin < br > stop button finished < br > play button preview recorded audio clip . click recorded audio clip inserted slide .|0.0
write step add animation effect text < br > < br > < br > < br >|add animation effect text object , follow step : < br > slide wish add animation < br > object wish animate . click animation < br > button animation group explore available animation effect . a gallery displaying four different kind animation effect < br > animation effect gallery .|0.0
apply transition effect a slide a presentation ? < br > < br > < br > < br >|apply transition effect a slide , follow step : < br > slide navigation pane , select slide a transition < br > transition tab . click drop-down arrow . a gallery various transition effect open . current slide display a preview selected effect .|0.0
explain rehearse timing feature . write step set rehearse < br > < br > < br > < br >|rehearse timing feature let record runtime slide a presentation . set rehearse timing , follow step : < br > slide show tab , click rehearse timing set < br > recording toolbar appears top left corner screen . various command available toolbar used record timing presentation .|0.0
write step add a video clip a < br > < br > < br > < br >|insert a video clip computer , follow step : < br > insert tab , click video drop-down arrow medium < br > drop-down menu appears . clicking device ques open insert video dialog box appears . locate select desired video < br > insert ques .|0.0
